"weight";"lat";"lon"
"13";"33.815";"-118.679"
"13";"33.876";"-118.559"
"13";"33.876";"-118.579"
"13";"34.036";"-118.259"
"13";"34.506";"-118.469"
"13";"34.486";"-118.458"
"13";"34.166";"-118.499"
"13";"33.976";"-118.289"
"13";"33.855";"-118.649"
"13";"33.565";"-118.208"
"13";"34.346";"-118.499"
"13";"34.086";"-118.469"
"13";"33.896";"-118.529"
"13";"34.506";"-118.689"
"12";"33.885";"-118.339"
"12";"34.216";"-118.458"
"12";"33.966";"-118.429"
"12";"33.925";"-118.669"
"12";"33.855";"-118.619"
"12";"33.705";"-118.298"
"12";"34.086";"-118.548"
"12";"34.156";"-118.419"
"12";"34.116";"-118.429"
"12";"34.076";"-118.539"
"12";"34.036";"-118.429"
"12";"34.196";"-118.579"
"12";"34.175";"-118.509"
"12";"34.056";"-118.449"
"12";"33.896";"-118.348"
"12";"33.876";"-118.569"
"12";"34.366";"-118.499"
"12";"34.065";"-118.449"
"12";"34.315";"-118.649"
"12";"33.716";"-118.319"
"12";"33.946";"-118.649"
"12";"33.826";"-118.609"
"12";"34.175";"-118.499"
"12";"34.105";"-118.559"
"12";"33.876";"-118.499"
"12";"33.855";"-118.628"
"12";"34.175";"-118.579"
"12";"34.146";"-118.479"
"12";"34.056";"-118.488"
"12";"34.096";"-118.469"
"12";"34.135";"-118.499"
"12";"33.955";"-118.479"
"12";"33.925";"-118.658"
"12";"33.916";"-118.539"
"12";"34.486";"-119.098"
"12";"34.076";"-118.469"
"12";"33.855";"-118.609"
"12";"33.866";"-118.598"
"12";"34.446";"-118.679"
"12";"34.256";"-118.408"
"12";"34.196";"-118.559"
"12";"34.036";"-118.469"
"12";"34.156";"-118.439"
"12";"33.716";"-118.309"
"12";"34.336";"-118.649"
"12";"33.786";"-118.319"
"12";"33.866";"-118.359"
"12";"34.516";"-118.689"
"12";"33.855";"-118.529"
"12";"34.196";"-118.639"
"12";"33.955";"-118.449"
"12";"33.885";"-118.378"
"12";"33.855";"-118.348"
"12";"34.476";"-118.679"
"12";"33.646";"-118.199"
"12";"33.826";"-118.679"
"12";"34.466";"-118.679"
"12";"34.036";"-118.518"
"12";"33.846";"-118.628"
"12";"34.486";"-118.679"
"12";"34.205";"-118.419"
"12";"34.046";"-118.458"
"12";"33.836";"-118.619"
"12";"34.056";"-118.399"
"12";"34.126";"-118.559"
"12";"33.925";"-118.699"
"12";"34.455";"-118.679"
"12";"33.646";"-118.339"
"12";"33.995";"-118.469"
"12";"33.925";"-118.689"
"11";"34.166";"-118.469"
"11";"34.156";"-118.569"
"11";"34.126";"-118.439"
"11";"33.705";"-118.279"
"11";"33.745";"-118.289"
"11";"33.596";"-118.268"
"11";"33.925";"-118.899"
"11";"33.936";"-118.869"
"11";"33.806";"-118.309"
"11";"33.786";"-118.329"
"11";"33.966";"-118.389"
"11";"33.866";"-118.619"
"11";"33.906";"-118.359"
"11";"33.826";"-118.149"
"11";"34.096";"-118.548"
"11";"33.955";"-118.139"
"11";"33.906";"-118.529"
"11";"33.986";"-118.419"
"11";"33.745";"-118.279"
"11";"34.525";"-118.479"
"11";"34.455";"-119.069"
"11";"34.116";"-118.559"
"11";"33.876";"-118.619"
"11";"34.556";"-118.499"
"11";"34.065";"-118.488"
